tract_fips,error
13121011308,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121006802,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121011307,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121005503,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121010528,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121002802,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121011902,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121006701,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121002500,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121007808,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121005700,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121004200,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121011636,504 Server Error: Gateway Timeout for url: http://overpass-api.de/api/interpreter
13121011648,504 Server Error: Gateway Timeout for url: http://overpass-api.de/api/interpreter
13121011643,504 Server Error: Gateway Timeout for url: http://overpass-api.de/api/interpreter
13121007400,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121010532,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121008000,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121011802,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121006400,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121004300,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121006602,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121008203,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121007711,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121007500,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121004800,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121001801,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121011000,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121002600,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121008103,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121008601,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121010508,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121008301,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121006200,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121010519,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121005504,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121012300,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121008204,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121011310,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121006000,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121010523,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121010520,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121007703,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121007810,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121006702,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121007806,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121010530,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121007809,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121010603,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121010601,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
13121007807,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
