white_pop,black_pop,asian_pop,hispanic_pop,total_population,income,vacant_units,total_units,state,county,tract,city,tract_fips,pct_white,pct_black,pct_hispanic,pct_asian,vacancy_rate,income_bucket,dominant_race,region,centroid_lon,centroid_lat,restaurants_cafes,bars_nightclubs,liquor_stores,check_cashing_payday,parks_green_spaces,grocery_stores,pharmacies,schools,amenity_bucket
310,266,1051,333,1900,100769,1,855,13,121,11636,Atlanta,13121011636,16.315789473684212,14.000000000000002,17.526315789473685,55.315789473684205,0.0011695906432748,upper_middle,asian,South,-84.25897395342447,34.07244792894428,0,0,0,0,0,0,0,0,commercial_mixed
859,592,2216,516,4376,85590,139,2529,13,121,11643,Atlanta,13121011643,19.62979890310786,13.528336380255942,11.791590493601465,50.6398537477148,0.0549624357453538,upper_middle,asian,South,-84.26252755917582,34.0953118122525,0,0,0,0,0,0,0,0,commercial_mixed
1031,95,1884,65,3131,173590,35,1144,13,121,11635,Atlanta,13121011635,32.928776748642605,3.034174385180453,2.076014053018205,60.172468859789205,0.0305944055944055,high,asian,South,-84.12677944969589,34.04448166020207,0,0,0,0,1,0,0,2,community_rich
1345,868,1981,205,4451,166488,293,1920,13,121,11650,Atlanta,13121011650,30.21792855538081,19.50123567737587,4.6057065827903845,44.50685239272074,0.1526041666666666,high,asian,South,-84.24548972377191,34.061818401008495,4,0,1,0,0,1,0,0,community_rich
992,177,993,94,2348,199922,0,703,13,121,11648,Atlanta,13121011648,42.24872231686542,7.538330494037479,4.003407155025554,42.29131175468484,0.0,high,asian,South,-84.15129549061581,34.04207898471384,0,0,0,0,0,0,0,0,commercial_mixed
70,1334,0,23,1521,16282,133,587,13,121,6802,Atlanta,13121006802,4.602235371466141,87.70545693622617,1.5121630506245891,0.0,0.2265758091993185,low,black,South,-84.36096626108156,33.704285428613254,0,0,0,0,0,0,0,0,commercial_mixed
29,1848,0,18,1913,46327,29,854,13,121,11308,Atlanta,13121011308,1.5159435441714584,96.60219550444327,0.9409304756926294,0.0,0.0339578454332552,low,black,South,-84.48874690149145,33.63923145417156,0,0,0,0,0,0,0,0,commercial_mixed
149,4909,0,135,5185,42510,237,2325,13,121,11307,Atlanta,13121011307,2.8736740597878496,94.67695274831244,2.6036644165863065,0.0,0.1019354838709677,low,black,South,-84.49202512909001,33.65173290688809,0,0,0,0,0,0,0,0,commercial_mixed
0,1484,0,0,1505,19777,77,719,13,121,5503,Atlanta,13121005503,0.0,98.6046511627907,0.0,0.0,0.1070931849791377,low,black,South,-84.39080334246943,33.71147894045952,0,0,0,0,0,0,0,0,commercial_mixed
328,2885,0,702,4025,46431,77,1857,13,121,10528,Atlanta,13121010528,8.149068322981366,71.67701863354037,17.440993788819874,0.0,0.0414647280560043,low,black,South,-84.5572113203378,33.56714297114964,0,0,0,0,0,0,0,0,commercial_mixed
324,926,367,49,1715,16658,170,876,13,121,2802,Atlanta,13121002802,18.892128279883384,53.99416909620991,2.857142857142857,21.399416909620992,0.1940639269406392,low,black,South,-84.38010743620872,33.75689237582668,0,0,0,0,0,0,0,0,commercial_mixed
100,2662,0,52,2816,27946,62,962,13,121,6701,Atlanta,13121006701,3.551136363636364,94.53125,1.8465909090909087,0.0,0.0644490644490644,low,black,South,-84.39755191101844,33.71177799681325,0,0,0,0,0,0,0,0,commercial_mixed
479,651,12,75,1263,-666666666,47,858,13,121,11902,Atlanta,13121011902,37.92557403008709,51.54394299287412,5.938242280285035,0.9501187648456058,0.0547785547785547,low,black,South,-84.37238732151171,33.75250414036173,0,0,0,0,0,0,0,0,commercial_mixed
254,2642,43,173,3123,32042,166,1363,13,121,2500,Atlanta,13121002500,8.133205251360872,84.59814281139928,5.539545308997758,1.3768812039705411,0.1217901687454145,low,black,South,-84.41266127014937,33.75907447096278,0,0,0,0,0,0,0,0,commercial_mixed
8,2902,0,368,3278,15625,447,1627,13,121,7808,Atlanta,13121007808,0.2440512507626601,88.52959121415496,11.226357535082366,0.0,0.274738783036263,low,black,South,-84.49986286073086,33.751632992599305,0,0,0,0,0,0,0,0,commercial_mixed
36,1185,0,0,1248,40652,172,802,13,121,5700,Atlanta,13121005700,2.8846153846153846,94.95192307692308,0.0,0.0,0.2144638403990025,low,black,South,-84.40382320454052,33.73214705842482,0,0,0,0,0,0,0,0,commercial_mixed
200,2065,0,28,2274,24464,62,1490,13,121,4200,Atlanta,13121004200,8.795074758135444,90.80914687774846,1.2313104661389622,0.0,0.0416107382550335,low,black,South,-84.41823676520734,33.73903746317106,0,0,0,0,0,0,0,0,commercial_mixed
149,2631,0,0,2828,45028,42,1134,13,121,7602,Atlanta,13121007602,5.2687411598302685,93.03394625176804,0.0,0.0,0.037037037037037,low,black,South,-84.46215460177504,33.71090111673658,0,0,0,0,2,0,0,1,community_rich
952,1994,504,411,3911,40640,107,351,13,121,3800,Atlanta,13121003800,24.3416006136538,50.98440296599335,10.508821273331629,12.886729736640245,0.3048433048433048,low,black,South,-84.41202298779582,33.75082857994083,11,1,0,0,11,8,1,7,community_rich
0,2909,0,486,3498,32908,324,1833,13,121,8103,Atlanta,13121008103,0.0,83.16180674671241,13.893653516295029,0.0,0.176759410801964,low,black,South,-84.48290302315044,33.74881707746172,0,0,0,0,0,0,0,0,commercial_mixed
57,948,26,7,1071,34688,61,530,13,121,2600,Atlanta,13121002600,5.322128851540616,88.51540616246498,0.6535947712418301,2.427637721755369,0.1150943396226415,low,black,South,-84.40262852074929,33.75879374778416,0,0,0,0,0,0,0,0,commercial_mixed
391,2367,0,363,2997,31543,477,1601,13,121,8301,Atlanta,13121008301,13.04637971304638,78.97897897897897,12.112112112112111,0.0,0.2979387882573391,low,black,South,-84.45886166278677,33.76422587983178,0,0,0,0,0,0,0,0,commercial_mixed
