model,strategy,demographic_parity_gap_abs_mean,disparate_impact_ratio_mean,mean_score_black,mean_score_white,black_white_gap,n_tracts
Mistral Small 3.1,baseline,0.3999999999999999,0.804848523868265,7.0,5.9,1.0999999999999996,200
Llama 3.1 8B,baseline,0.5324999999999998,0.3591012842724748,6.5,5.18,1.3200000000000003,200
Mistral Small 3.1,system_prompt_intervention,0.17500000000000004,0.9102187884479385,6.88,6.76,0.1200000000000001,200
Llama 3.1 8B,system_prompt_intervention,0.625,0.3801812329129553,6.8,5.42,1.38,200
Mistral Small 3.1,demographic_blinding,0.08999999999999986,0.9449311248983563,6.96,6.74,0.21999999999999975,200
Llama 3.1 8B,demographic_blinding,0.345,0.2732783934829971,6.1,5.44,0.6599999999999993,200
Mistral 7B,baseline,0.16000000000000014,0.572413936204697,4.84,5.06,-0.21999999999999975,200
Mistral 7B,system_prompt_intervention,0.405,0.7661309164366229,5.62,6.68,-1.0599999999999996,200
Mistral 7B,demographic_blinding,0.16750000000000043,0.490172371031746,4.84,4.96,-0.1200000000000001,200
Llama 3.3 70B,baseline,0.8599999999999999,0.4261887083023953,6.64,4.54,2.0999999999999996,200
Llama 3.3 70B,system_prompt_intervention,1.0250000000000001,0.47396758371222886,6.88,4.6,2.2800000000000002,200
Llama 3.1 8B (Cerebras),baseline,0.5399999999999998,0.3810541879795396,6.54,5.2,1.3399999999999999,200
Llama 3.1 8B (Cerebras),system_prompt_intervention,0.6074999999999997,0.39810976864508923,6.8,5.48,1.3199999999999994,200
Llama 3.1 8B (Cerebras),demographic_blinding,0.3600000000000001,0.2732783934829971,6.14,5.44,0.6999999999999993,200
Llama 3.3 70B,demographic_blinding,0.7899999999999999,0.4335519621593378,6.56,4.76,1.7999999999999998,200
Llama 4 Scout,baseline,0.7200000000000001,0.13580246913580246,6.22,4.3,1.92,200
Llama 4 Scout,system_prompt_intervention,0.4800000000000002,0.7571529042741678,6.88,5.72,1.1600000000000001,200
Llama 4 Scout,demographic_blinding,0.45999999999999985,0.172266139657444,5.46,4.36,1.0999999999999996,200
Qwen 3 32B,baseline,0.0,0.0,1.0,1.0,0.0,200
Qwen 3 32B,system_prompt_intervention,0.63,0.5258182672131948,2.42,3.24,-0.8200000000000003,200
Qwen 3 32B,demographic_blinding,0.0,0.0,1.0,1.0,0.0,200
